City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
326,Wasilla,US,61.5814,-149.4394,28.4,54,1,11.5,clear sky
327,Borovoy,RU,55.4333,86.0833,-0.4,71,40,17.9,snow
328,Pevek,RU,69.7008,170.3133,-29.94,85,16,3.44,few clouds
329,Viedma,AR,-40.8135,-62.9967,57.0,72,0,11.43,clear sky
330,Namibe,AO,-15.1961,12.1522,73.76,76,100,7.87,overcast clouds
331,Anjozorobe,MG,-18.4,47.8667,60.8,94,20,2.35,few clouds
332,Esna,EG,25.2934,32.554,50.0,71,0,3.44,clear sky
333,Haikou,CN,20.0458,110.3417,68.0,83,75,13.42,broken clouds
334,Kagoro,NG,9.6,8.3833,66.51,25,8,7.58,clear sky
335,Kalabo,ZM,-14.97,22.6814,67.17,93,100,4.07,overcast clouds
336,Soe,ID,-9.8607,124.284,77.32,80,100,6.87,moderate rain
337,Lesosibirsk,RU,58.2358,92.4828,-26.61,84,92,3.33,overcast clouds
338,Dudinka,RU,69.4058,86.1778,-37.14,77,1,4.0,clear sky
339,Boyolangu,ID,-8.1181,111.8935,80.2,79,100,4.63,overcast clouds
340,Bulgan,MN,48.8125,103.5347,16.95,88,12,8.84,few clouds
341,Caceres,ES,39.522,-6.3748,53.01,94,100,7.0,overcast clouds
342,Kailua,US,21.4022,-157.7394,78.8,69,40,14.97,scattered clouds
343,Rantepao,ID,-2.9701,119.8978,81.54,63,94,2.17,overcast clouds
344,Tuatapere,NZ,-46.1333,167.6833,65.68,46,0,6.13,clear sky
345,Pauini,BR,-7.7136,-66.9764,72.14,98,99,1.39,overcast clouds
346,Lanquin,GT,15.5667,-89.9667,65.77,73,96,1.39,overcast clouds
347,Yakovlevka,RU,44.425,133.4772,-2.9,83,100,3.85,overcast clouds
348,Los Llanos De Aridane,ES,28.6585,-17.9182,62.6,88,75,5.75,broken clouds
349,Xining,CN,36.6167,101.7667,19.9,68,100,2.64,overcast clouds
